index,model,time,label,start,start_act,end_act,h,n_obs,start_flag,n_obs_flag,pi,score,mape,rmse,coverage,success,experiment_id,run_id,subba
54,LinearRegressionModel,2024-07-08 16:27:25,2024-07-08,2024-07-08 00:00:00,2024-07-08,2024-07-08 23:00:00,24,24,True,True,0.95,True,0.0901915226394567,1618.4159729096475,0.4583333333333333,True,248861112514005710,3ba34a4e9edc4ea4896c4a2f3dbe84d9,SCE
55,LinearRegressionModel,2024-07-08 16:28:18,2024-07-08,2024-07-08 00:00:00,2024-07-08,2024-07-08 23:00:00,24,24,True,True,0.95,True,0.0963814566846488,247.3745256358233,1.0,True,677683418590813192,f2e43e0509be4ac1a12298123ee4320c,SDGE
56,LinearRegressionModel,2024-07-08 16:28:59,2024-07-08,2024-07-08 00:00:00,2024-07-08,2024-07-08 23:00:00,24,24,True,True,0.95,True,0.1118589503281027,19.44971477674249,0.8333333333333334,True,918778494567991839,96c8ecddb82a4ca7b742ae17de7e8d75,VEA
57,LinearRegressionModel,2024-07-09 16:26:26,2024-07-09,2024-07-09 00:00:00,2024-07-09,2024-07-09 23:00:00,24,24,True,True,0.95,True,0.0369221134257047,608.2443079099424,0.9166666666666666,True,766922038376883167,7e479adf9f3b417f83addadc85c48c08,PGAE
58,LinearRegressionModel,2024-07-09 16:27:51,2024-07-09,2024-07-09 00:00:00,2024-07-09,2024-07-09 23:00:00,24,24,True,True,0.95,True,0.0432195514259075,771.492594786792,0.8333333333333334,True,322595720301967833,a2a7adeaa621428a96e1eab1bea88d1e,SCE
59,LinearRegressionModel,2024-07-09 16:28:44,2024-07-09,2024-07-09 00:00:00,2024-07-09,2024-07-09 23:00:00,24,24,True,True,0.95,True,0.0648678452663588,187.7414941514577,1.0,True,644125006058408845,ecbe6b73fceb4343ba855e2929291813,SDGE
60,LinearRegressionModel,2024-07-09 16:29:25,2024-07-09,2024-07-09 00:00:00,2024-07-09,2024-07-09 23:00:00,24,24,True,True,0.95,True,0.0750122914129611,12.86800814434332,0.8333333333333334,True,869433442963174009,fe0a865c89324d8e8e155286db611ac1,VEA
61,LinearRegressionModel,2024-07-10 16:25:58,2024-07-10,2024-07-10 00:00:00,2024-07-10,2024-07-10 23:00:00,24,24,True,True,0.95,True,0.0594450136257772,915.4101183185765,0.75,True,428339512224138460,fcfac2be3e724e498aba54eec95155b7,PGAE
62,LinearRegressionModel,2024-07-10 16:27:22,2024-07-10,2024-07-10 00:00:00,2024-07-10,2024-07-10 23:00:00,24,24,True,True,0.95,True,0.0237200588589091,451.6513413906816,1.0,True,150248387756548780,ebcec328d57446d8925b1eda862ad911,SCE
63,LinearRegressionModel,2024-07-10 16:28:15,2024-07-10,2024-07-10 00:00:00,2024-07-10,2024-07-10 23:00:00,24,24,True,True,0.95,True,0.0466505731954293,140.6698844543345,1.0,True,988383059448896982,c29cd8f6106f44aaa63250afedc43df5,SDGE
